RID,VERSION,STATUS,IP,HTTP_URL,SESSION,START,DURATION,SRC,EXTID,consent,q2,q3,q4,q5,q89_1,q89_2,q7,q89_3,q89_4,block,design_offset,q8,bid_random,bid,q9,q10,q11,q11_other,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q17_1,q17_2,q18,q19,q20,q20_other,q21,q22,q23,q24
97,7,7,Anonymised,Anonymised,Anonymised,1655485895.05307,280.778,Prolific,Anonymised,1,2,2,Anonymised,1,1,2,2,2,2,2,4,4,7,£50.00,1,,,Anonymised,8,8,9,7,9,10,9,4,4,1,2,1,Anonymised,3,7,10,Anonymised
55,7,7,Anonymised,Anonymised,Anonymised,1655485596.54851,580.04,Prolific,Anonymised,1,1,5,Anonymised,1,3,2,2,0,-5,2,4,6,1,£1.00,1,,,Anonymised,11,11,11,7,8,9,10,3,3,1,2,2,Anonymised,2,5,10,Anonymised
48,7,7,Anonymised,Anonymised,Anonymised,1655485470.47337,707.368,Prolific,Anonymised,1,2,5,Anonymised,1,3,5,2,4,4,1,0,4,9,£70.00,1,,,Anonymised,11,10,11,10,11,11,10,5,3,1,1,1,Anonymised,5,2,10,Anonymised
78,7,7,Anonymised,Anonymised,Anonymised,1655485762.49755,426.234,Prolific,Anonymised,1,1,1,Anonymised,1,4,3,2,3,5,1,0,7,10,£80.00,1,,,Anonymised,10,8,9,7,10,11,11,3,4,1,2,2,Anonymised,5,8,10,Anonymised
80,7,7,Anonymised,Anonymised,Anonymised,1655485769.00394,425.685,Prolific,Anonymised,1,2,2,Anonymised,2,5,5,1,5,5,2,4,6,8,£60.00,1,,,Anonymised,9,9,11,11,11,11,11,3,3,2,2,1,Anonymised,3,7,8,Anonymised
87,7,7,Anonymised,Anonymised,Anonymised,1655485833.60956,390.41,Prolific,Anonymised,1,1,2,Anonymised,4,1,2,2,1,2,1,0,8,3,£10.00,1,,,Anonymised,9,7,10,8,11,11,11,4,3,2,2,1,Anonymised,4,7,10,Anonymised
86,7,7,Anonymised,Anonymised,Anonymised,1655485828.92011,399.695,Prolific,Anonymised,1,2,4,Anonymised,1,3,5,2,4,4,1,0,4,10,£80.00,1,,,Anonymised,11,11,11,11,11,11,11,4,4,2,2,1,Anonymised,5,5,10,Anonymised
26,7,7,Anonymised,Anonymised,Anonymised,1655485067.01512,1166.413,Prolific,Anonymised,1,2,4,Anonymised,1,5,3,3,0,0,1,0,2,5,£30.00,1,,,Anonymised,9,7,11,11,11,11,11,3,3,1,1,2,Anonymised,2,3,10,Anonymised
104,7,7,Anonymised,Anonymised,Anonymised,1655485978.52662,273.106,Prolific,Anonymised,1,2,1,Anonymised,1,5,2,2,0,5,1,0,4,2,£5.00,1,,,Anonymised,11,8,11,6,10,10,10,3,3,2,2,2,Anonymised,5,4,10,Anonymised
98,7,7,Anonymised,Anonymised,Anonymised,1655485900.58749,359.521,Prolific,Anonymised,1,2,2,Anonymised,1,-1,1,3,1,3,1,0,6,1,£1.00,1,,,Anonymised,10,8,7,6,7,8,8,3,3,1,1,2,Anonymised,5,8,7,Anonymised
99,7,7,Anonymised,Anonymised,Anonymised,1655485904.27108,366.593,Prolific,Anonymised,1,2,1,Anonymised,1,3,3,1,2,3,1,0,12,3,£10.00,,2,2,Anonymised,7,5,8,8,10,9,8,3,3,2,2,2,Anonymised,4,5,10,Anonymised
66,7,7,Anonymised,Anonymised,Anonymised,1655485688.17674,583.943,Prolific,Anonymised,1,1,4,Anonymised,1,1,3,2,2,0,2,4,7,2,£5.00,2,,2,Anonymised,6,5,7,5,8,7,7,2,3,1,2,2,Anonymised,2,8,10,Anonymised
61,7,7,Anonymised,Anonymised,Anonymised,1655485633.35868,651.917,Prolific,Anonymised,1,2,4,Anonymised,1,3,3,1,4,4,1,0,4,4,£20.00,2,,4,Anonymised,5,5,10,10,10,10,10,3,3,1,2,1,Anonymised,3,2,7,Anonymised
74,7,7,Anonymised,Anonymised,Anonymised,1655485742.62141,576.04,Prolific,Anonymised,1,2,4,Anonymised,1,4,3,3,0,2,1,0,2,6,£40.00,1,,,Anonymised,11,11,11,11,11,11,11,3,3,2,2,1,Anonymised,5,10,10,Anonymised
106,7,7,Anonymised,Anonymised,Anonymised,1655485998.83818,350.261,Prolific,Anonymised,1,2,1,Anonymised,1,1,3,3,-1,2,1,0,12,7,£50.00,,2,1,Anonymised,10,6,10,6,11,11,11,3,3,1,2,2,Anonymised,5,4,8,Anonymised
110,7,7,Anonymised,Anonymised,Anonymised,1655486023.91965,327.222,Prolific,Anonymised,1,2,3,Anonymised,1,1,2,4,2,2,1,0,7,5,£30.00,1,,,Anonymised,9,9,8,8,10,10,11,4,4,1,2,1,Anonymised,5,4,10,Anonymised
