RID,DESIGN_ROW,SCENARIO,SEQ,pref1,a1_x1,a1_x2,a1_x3,a2_x1,a2_x2,a2_x3,a3_x1,a3_x2,a3_x3
126,8,4,4,2,1,1,1,3,2,3,2,3,4
102,5,1,1,2,1,1,1,3,1,2,1,2,4
102,6,2,2,3,1,1,1,1,3,3,2,1,1
102,7,3,3,3,1,1,1,3,3,3,1,2,2
102,8,4,4,1,1,1,1,3,2,3,2,3,4
87,1,1,1,2,1,1,1,1,1,2,2,3,3
87,2,2,2,2,1,1,1,2,2,4,3,1,1
87,3,3,3,2,1,1,1,3,2,2,1,1,1
87,4,4,4,2,1,1,1,2,1,1,3,2,2
120,1,1,1,2,1,1,1,1,1,2,2,3,3
120,2,2,2,3,1,1,1,2,2,4,3,1,1
120,3,3,3,2,1,1,1,3,2,2,1,1,1
120,4,4,4,3,1,1,1,2,1,1,3,2,2
133,1,1,1,2,1,1,1,1,1,2,2,3,3
133,2,2,2,3,1,1,1,2,2,4,3,1,1
133,3,3,3,2,1,1,1,3,2,2,1,1,1
133,4,4,4,3,1,1,1,2,1,1,3,2,2
123,5,1,1,2,1,1,1,3,1,2,1,2,4
123,6,2,2,2,1,1,1,1,3,3,2,1,1
123,7,3,3,3,1,1,1,3,3,3,1,2,2
123,8,4,4,2,1,1,1,3,2,3,2,3,4
52,5,1,1,3,1,1,1,3,1,2,1,2,4
52,6,2,2,2,1,1,1,1,3,3,2,1,1
52,7,3,3,3,1,1,1,3,3,3,1,2,2
52,8,4,4,3,1,1,1,3,2,3,2,3,4
113,5,1,1,3,1,1,1,3,1,2,1,2,4
113,6,2,2,2,1,1,1,1,3,3,2,1,1
113,7,3,3,2,1,1,1,3,3,3,1,2,2
113,8,4,4,3,1,1,1,3,2,3,2,3,4
85,5,1,1,1,1,1,1,3,1,2,1,2,4
85,6,2,2,1,1,1,1,1,3,3,2,1,1
85,7,3,3,1,1,1,1,3,3,3,1,2,2
85,8,4,4,1,1,1,1,3,2,3,2,3,4
107,1,1,1,3,1,1,1,1,1,2,2,3,3
107,2,2,2,3,1,1,1,2,2,4,3,1,1
107,3,3,3,3,1,1,1,3,2,2,1,1,1
107,4,4,4,2,1,1,1,2,1,1,3,2,2
110,1,1,1,3,1,1,1,1,1,2,2,3,3
110,2,2,2,3,1,1,1,2,2,4,3,1,1
110,3,3,3,2,1,1,1,3,2,2,1,1,1
110,4,4,4,3,1,1,1,2,1,1,3,2,2
155,5,1,1,2,1,1,1,3,1,2,1,2,4
155,6,2,2,2,1,1,1,1,3,3,2,1,1
155,7,3,3,2,1,1,1,3,3,3,1,2,2
155,8,4,4,2,1,1,1,3,2,3,2,3,4
154,1,1,1,2,1,1,1,1,1,2,2,3,3
154,2,2,2,1,1,1,1,2,2,4,3,1,1
154,3,3,3,3,1,1,1,3,2,2,1,1,1
154,4,4,4,2,1,1,1,2,1,1,3,2,2
105,5,1,1,3,1,1,1,3,1,2,1,2,4
105,6,2,2,2,1,1,1,1,3,3,2,1,1
105,7,3,3,2,1,1,1,3,3,3,1,2,2
105,8,4,4,3,1,1,1,3,2,3,2,3,4
128,5,1,1,2,1,1,1,3,1,2,1,2,4
128,6,2,2,2,1,1,1,1,3,3,2,1,1
128,7,3,3,3,1,1,1,3,3,3,1,2,2
128,8,4,4,1,1,1,1,3,2,3,2,3,4
92,1,1,1,2,1,1,1,1,1,2,2,3,3
92,2,2,2,1,1,1,1,2,2,4,3,1,1
92,3,3,3,3,1,1,1,3,2,2,1,1,1
92,4,4,4,2,1,1,1,2,1,1,3,2,2
106,5,1,1,3,1,1,1,3,1,2,1,2,4
106,6,2,2,2,1,1,1,1,3,3,2,1,1
106,7,3,3,2,1,1,1,3,3,3,1,2,2
106,8,4,4,2,1,1,1,3,2,3,2,3,4
134,1,1,1,3,1,1,1,1,1,2,2,3,3
134,2,2,2,1,1,1,1,2,2,4,3,1,1
134,3,3,3,3,1,1,1,3,2,2,1,1,1
134,4,4,4,1,1,1,1,2,1,1,3,2,2
119,5,1,1,1,1,1,1,3,1,2,1,2,4
119,6,2,2,3,1,1,1,1,3,3,2,1,1
119,7,3,3,1,1,1,1,3,3,3,1,2,2
119,8,4,4,1,1,1,1,3,2,3,2,3,4
100,1,1,1,1,1,1,1,1,1,2,2,3,3
100,2,2,2,1,1,1,1,2,2,4,3,1,1
100,3,3,3,1,1,1,1,3,2,2,1,1,1
100,4,4,4,1,1,1,1,2,1,1,3,2,2
112,1,1,1,2,1,1,1,1,1,2,2,3,3
112,2,2,2,2,1,1,1,2,2,4,3,1,1
112,3,3,3,3,1,1,1,3,2,2,1,1,1
112,4,4,4,2,1,1,1,2,1,1,3,2,2
95,5,1,1,1,1,1,1,3,1,2,1,2,4
95,6,2,2,1,1,1,1,1,3,3,2,1,1
95,7,3,3,1,1,1,1,3,3,3,1,2,2
95,8,4,4,1,1,1,1,3,2,3,2,3,4
78,5,1,1,3,1,1,1,3,1,2,1,2,4
78,6,2,2,2,1,1,1,1,3,3,2,1,1
78,7,3,3,2,1,1,1,3,3,3,1,2,2
78,8,4,4,3,1,1,1,3,2,3,2,3,4
122,5,1,1,1,1,1,1,3,1,2,1,2,4
122,6,2,2,3,1,1,1,1,3,3,2,1,1
122,7,3,3,1,1,1,1,3,3,3,1,2,2
122,8,4,4,1,1,1,1,3,2,3,2,3,4
130,5,1,1,3,1,1,1,3,1,2,1,2,4
130,6,2,2,2,1,1,1,1,3,3,2,1,1
130,7,3,3,3,1,1,1,3,3,3,1,2,2
130,8,4,4,3,1,1,1,3,2,3,2,3,4
125,1,1,1,2,1,1,1,1,1,2,2,3,3
125,2,2,2,1,1,1,1,2,2,4,3,1,1
125,3,3,3,2,1,1,1,3,2,2,1,1,1
125,4,4,4,3,1,1,1,2,1,1,3,2,2
121,5,1,1,3,1,1,1,3,1,2,1,2,4
121,6,2,2,2,1,1,1,1,3,3,2,1,1
121,7,3,3,3,1,1,1,3,3,3,1,2,2
121,8,4,4,2,1,1,1,3,2,3,2,3,4
86,1,1,1,3,1,1,1,1,1,2,2,3,3
86,2,2,2,2,1,1,1,2,2,4,3,1,1
86,3,3,3,3,1,1,1,3,2,2,1,1,1
86,4,4,4,2,1,1,1,2,1,1,3,2,2
142,5,1,1,3,1,1,1,3,1,2,1,2,4
142,6,2,2,2,1,1,1,1,3,3,2,1,1
142,7,3,3,3,1,1,1,3,3,3,1,2,2
142,8,4,4,2,1,1,1,3,2,3,2,3,4
138,1,1,1,1,1,1,1,1,1,2,2,3,3
138,2,2,2,1,1,1,1,2,2,4,3,1,1
138,3,3,3,1,1,1,1,3,2,2,1,1,1
138,4,4,4,1,1,1,1,2,1,1,3,2,2
118,1,1,1,3,1,1,1,1,1,2,2,3,3
118,2,2,2,1,1,1,1,2,2,4,3,1,1
118,3,3,3,3,1,1,1,3,2,2,1,1,1
118,4,4,4,2,1,1,1,2,1,1,3,2,2
139,1,1,1,2,1,1,1,1,1,2,2,3,3
139,2,2,2,1,1,1,1,2,2,4,3,1,1
139,3,3,3,3,1,1,1,3,2,2,1,1,1
139,4,4,4,2,1,1,1,2,1,1,3,2,2
153,5,1,1,3,1,1,1,3,1,2,1,2,4
153,6,2,2,2,1,1,1,1,3,3,2,1,1
153,7,3,3,3,1,1,1,3,3,3,1,2,2
153,8,4,4,3,1,1,1,3,2,3,2,3,4
45,1,1,1,3,1,1,1,1,1,2,2,3,3
45,2,2,2,2,1,1,1,2,2,4,3,1,1
45,3,3,3,2,1,1,1,3,2,2,1,1,1
45,4,4,4,3,1,1,1,2,1,1,3,2,2
146,5,1,1,1,1,1,1,3,1,2,1,2,4
146,6,2,2,1,1,1,1,1,3,3,2,1,1
146,7,3,3,1,1,1,1,3,3,3,1,2,2
146,8,4,4,1,1,1,1,3,2,3,2,3,4
135,1,1,1,3,1,1,1,1,1,2,2,3,3
135,2,2,2,2,1,1,1,2,2,4,3,1,1
135,3,3,3,3,1,1,1,3,2,2,1,1,1
135,4,4,4,2,1,1,1,2,1,1,3,2,2
143,5,1,1,3,1,1,1,3,1,2,1,2,4
143,6,2,2,2,1,1,1,1,3,3,2,1,1
143,7,3,3,3,1,1,1,3,3,3,1,2,2
143,8,4,4,3,1,1,1,3,2,3,2,3,4
149,5,1,1,3,1,1,1,3,1,2,1,2,4
149,6,2,2,2,1,1,1,1,3,3,2,1,1
149,7,3,3,2,1,1,1,3,3,3,1,2,2
149,8,4,4,3,1,1,1,3,2,3,2,3,4
144,1,1,1,3,1,1,1,1,1,2,2,3,3
144,2,2,2,3,1,1,1,2,2,4,3,1,1
144,3,3,3,3,1,1,1,3,2,2,1,1,1
144,4,4,4,2,1,1,1,2,1,1,3,2,2
